"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","GF/60","GA/60","GF%","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"","Marko Dano","WPG","C","18","118.35","6.575","57.46","51.79","52.60","1.51","3.51","30.13","11.66","17.74","19.77","37.10"
"","Joonas Donskoi","S.J","R","44","523.03333333333","11.887121212121","65.87","51.77","56.00","2.55","2.09","55.05","17.44","23.52","14.45","54.68"
"","Radek Faksa","DAL","C","53","624.36666666667","11.780503144654","58.96","51.77","53.25","3.19","1.46","68.63","11.72","27","22.97","33.80"
"","Craig Smith","NSH","R","50","614.16666666667","12.283333333333","67.22","51.73","56.51","2.55","2.15","54.25","19.05","22.27","15.24","55.56"
"","Riley Nash","BOS","C","49","609.46666666667","12.438095238095","58.83","51.72","53.22","2.44","1.87","56.60","17.92","19.59","20.58","46.55"
"","Jason Spezza","DAL","C","53","562.88333333333","10.620440251572","63.99","51.69","55.32","2.41","2.22","52.00","23.13","20.68","18.12","56.07"
"","Michael Raffl","PHI","L","52","603.48333333333","11.605448717949","52.55","51.69","50.42","2.02","1.71","54.23","19.09","22.47","18.09","51.34"
"","Noah Hanifin","CAR","D","53","835.21666666667","15.758805031447","67.12","51.69","56.49","2.62","2.71","49.17","23.13","19.54","13.22","63.64"
"","Joel Armia","WPG","R","50","474.91666666667","9.4983333333333","58.43","51.68","53.06","2.85","2.25","55.88","15.67","20.97","21.86","41.75"
"","Tucker Poolman","WPG","D","15","177.5","11.833333333333","61.73","51.67","54.43","2.39","1.38","63.44","24.68","19.94","20.28","54.89"
"","Artemi Panarin","CBJ","L","52","825.4","15.873076923077","69.78","51.65","57.47","2.36","1.69","58.27","24.57","21.37","13.23","65.00"
"","Dan Hamhuis","DAL","D","52","852.06666666667","16.385897435897","55.72","51.64","51.90","2.24","2.46","47.73","16.06","22.32","22.53","41.61"
"","Jussi Jokinen","EDM","L","14","140.28333333333","10.020238095238","67.95","51.6","56.84","0.42","1.69","19.88","22.67","20.53","19.25","54.08"
"","Zdeno Chara","BOS","D","50","910.7","18.214","60.7","51.57","54.06","2.7","1.72","61.16","19.11","19.5","17.85","51.69"
"","Jonathan Marchessault","VGK","C","49","674.16666666667","13.758503401361","64.18","51.55","55.46","3.87","2.27","63.07","20.56","25.28","18.51","52.62"
"","Adam Cracknell","DAL","R","1","8.5833333333333","8.5833333333333","51.88","51.53","50.17","0","0","0.00","6.99","34.95","20.97","25.00"
"","Dmitrij Jaskin","STL","R","48","527.18333333333","10.982986111111","58.23","51.51","53.06","2.51","1.94","56.44","12.18","18.32","20.83","36.90"
"","Stefan Noesen","N.J","R","42","484.01666666667","11.524206349206","56.03","51.5","52.11","2.85","1.73","62.27","16.86","19.96","23.06","42.24"
"","William Karlsson","VGK","C","52","692.93333333333","13.325641025641","62.96","51.23","55.13","3.59","1.88","65.59","20.26","24.94","18.88","51.77"
"","Derek Ryan","CAR","C","51","672.6","13.188235294118","65.98","51.13","56.34","2.26","3.54","38.95","23.73","18.2","14.01","62.88"
"","Matt Beleskey","BOS","L","14","130.08333333333","9.2916666666667","53.94","51.08","51.36","0.43","3.72","10.42","21.22","23.98","11.99","63.89"
"","Phillip Di Giuseppe","CAR","L","20","178.18333333333","8.9091666666667","57.11","51.04","52.81","1.4","2.45","36.46","13.81","21.89","16.5","45.56"
"","Nic Dowd","L.A","C","16","123.36666666667","7.7104166666667","44.6","51.02","46.64","0.48","1.88","20.28","21.4","19.94","13.62","61.11"
"","David Pastrnak","BOS","R","50","686.56666666667","13.731333333333","63.52","51.01","55.46","3.44","1.58","68.51","26.65","23.6","15.38","63.41"
"","Sean Couturier","PHI","C","52","757.36666666667","14.564743589744","61.86","50.99","54.81","3.32","2.07","61.65","18.7","22.9","24.56","43.22"
"","Remi Elie","DAL","L","46","465.11666666667","10.111231884058","58.71","50.95","53.54","2.06","1.81","53.22","13.8","23.86","18.96","42.13"
"","Hampus Lindholm","ANA","D","41","686.06666666667","16.733333333333","61.78","50.94","54.80","2.93","2.43","54.65","17.14","22.56","18.89","47.57"
"","Richard Panik","ARI","R","9","131.73333333333","14.637037037037","67.79","50.93","57.10","2.36","1.81","56.62","17.31","21.41","19.59","46.91"
"","David Kampf","CHI","C","17","183.65","10.802941176471","65.2","50.91","56.15","2.31","2.73","45.82","24.5","20.91","21.24","53.57"
"","Cory Conacher","T.B","C","21","199.66666666667","9.5079365079365","55.54","50.9","52.18","2.44","1.79","57.76","15.63","21.34","19.53","44.44"
"","Scott Laughton","PHI","C","52","490.86666666667","9.4397435897436","53.78","50.82","51.41","1.69","2.56","39.79","15.89","19.92","17.6","47.45"
"","Marcus Kruger","CAR","C","48","431.35","8.9864583333333","61","50.65","54.64","1.1","2.1","34.40","14.47","21.7","17.39","45.41"
"","Jujhar Khaira","EDM","L","38","410.1","10.792105263158","57.47","50.47","53.24","2.37","2.98","44.30","19.75","22.24","17.41","53.15"
"","Michael McCarron","MTL","R","8","62.683333333333","7.8354166666667","42.79","50.47","45.88","1.97","1.87","51.29","17.23","20.1","21.06","45.00"
"","Tim Schaller","BOS","C","50","536.66666666667","10.733333333333","55.87","50.46","52.55","1.45","1.67","46.33","13.64","26.05","21.02","39.35"
"","Ryan Murphy","MIN","D","9","138.33333333333","15.37037037037","47.96","50.44","48.74","3.46","1.25","73.47","18.65","15.61","15.18","55.13"
"","Ryan Carpenter","VGK","C","6","55.383333333333","9.2305555555556","65.83","50.36","56.66","2.25","3.03","42.64","15.17","13","11.92","56.00"
"","Carl Hagelin","PIT","L","53","649.3","12.250943396226","60.11","50.35","54.42","2.1","2.05","50.70","18.48","21.72","20.88","46.95"
"","Taylor Fedun","BUF","D","7","90.933333333333","12.990476190476","55.3","50.35","52.35","0.62","1.28","32.67","15.84","21.11","11.22","58.54"
"","Radko Gudas","PHI","D","40","561.68333333333","14.042083333333","57.93","50.32","53.52","1.91","2.01","48.84","18.59","21.9","16.98","52.25"
"","Teuvo Teravainen","CAR","L","53","689.95","13.017924528302","61.88","50.26","55.18","2.91","2.5","53.79","20.7","23.91","15.91","56.53"
"","Nate Prosser","STL","D","1","15.383333333333","15.383333333333","55.95","50.01","52.80","0","0","0.00","11.7","19.5","19.5","37.50"
"","Ryan Spooner","BOS","C","30","331.11666666667","11.037222222222","60.66","49.89","54.87","3.31","1.44","69.66","33.34","19.57","9.24","78.30"
"","Kevan Miller","BOS","D","44","683.33333333333","15.530303030303","57.75","49.84","53.68","2.29","1.82","55.66","20.46","24.32","16.42","55.48"
"","Sami Vatanen","N.J","D","27","434.6","16.096296296296","53.11","49.82","51.60","2.36","3.14","42.91","23.33","25.54","19.33","54.69"
"","Andrew Copp","WPG","C","53","604.46666666667","11.405031446541","57.04","49.81","53.38","2.38","1.45","62.08","15.19","25.91","21.94","40.91"
"","Danton Heinen","BOS","C","46","571.3","12.419565217391","61.84","49.8","55.39","3.16","1.79","63.90","19.95","18.9","15.96","55.56"
"","Cody Franson","CHI","D","23","318.15","13.832608695652","70.14","49.76","58.50","1.89","1.68","52.84","28.1","20.18","15.46","64.50"
"","David Backes","BOS","R","33","442.46666666667","13.408080808081","64.97","49.73","56.64","2.03","2.16","48.45","19.53","19.12","19.93","49.48"
"","Duncan Siemens","COL","D","1","6.4333333333333","6.4333333333333","44.36","49.66","47.18","0","0","0.00","0","27.98","9.33","0.00"
"","Antoine Roussel","DAL","L","46","492.9","10.715217391304","63.14","49.6","56.00","2.54","1.95","56.55","13.51","27.63","17.41","43.70"
"","Brandon Tanev","WPG","L","46","489.58333333333","10.643115942029","54.77","49.56","52.50","2.13","1.2","63.99","15.2","26.72","21.45","41.47"
"","Noel Acciari","BOS","C","32","354.15","11.0671875","53.67","49.43","52.06","1.39","1.67","45.45","11.18","24.9","17.79","38.60"
"","Kalle Kossila","ANA","C, L","10","84.866666666667","8.4866666666667","51.59","49.09","51.24","1.47","4.38","25.14","18.38","21.21","7.78","70.27"
"","Julius Honka","DAL","D","28","322.58333333333","11.520833333333","64.52","48.92","56.88","2.28","1.29","63.86","19.72","19.53","16.55","54.36"
"","Mathieu Perreault","WPG","C","41","465.51666666667","11.35406504065","73.53","48.88","60.07","3.08","2.18","58.59","21.4","18.17","20.62","50.92"
"","Colin Miller","VGK","D","52","757.53333333333","14.567948717949","63.1","48.8","56.39","2.68","2.57","51.02","25.35","19.72","15.37","62.26"
"","Brad Marchand","BOS","L","38","516","13.578947368421","67.2","48.79","57.94","4.09","1.03","79.86","28.37","22.21","20.23","58.37"
"","Seth Griffith","BUF","C","18","176.15","9.7861111111111","47.62","48.6","49.49","0.7","1.96","26.49","16.35","13.28","9.88","62.34"
"","Jayson Megna","VAN","C","1","3.8333333333333","3.8333333333333","44.16","48.48","47.67","0","0","0.00","15.65","62.61","31.3","33.33"
"","Samuel Morin","PHI","D","2","26.75","13.375","67.04","48.43","58.05","4.21","2.38","63.85","22.43","15.7","15.7","58.82"
"","Charlie McAvoy","BOS","D","46","843.8","18.34347826087","61.62","48.34","56.04","2.92","1.63","64.12","22.54","22.4","17.35","56.51"
"","Brad Hunt","VGK","D","28","389.68333333333","13.917261904762","60.35","48.29","55.55","2.03","2.44","45.48","24.79","19.25","17.4","58.76"
"","Brian Lashoff","DET","D","1","2.5666666666667","2.5666666666667","22.62","48.27","31.91","0","0","0.00","23.38","23.38","0","100.00"
"","Jack Roslovic","WPG","C","11","110.4","10.036363636364","60.08","48.23","55.47","1.66","3.07","35.16","16.85","15.22","19.57","46.27"
"","J.T. Brown","ANA","R","10","95.05","9.505","67.4","48.15","58.33","1.83","1.21","60.12","17.04","18.94","17.04","50.00"
"","Patrice Bergeron","BOS","C","45","598.83333333333","13.307407407407","68.71","48.13","58.81","3.53","1.09","76.39","29.46","23.65","18.84","61.00"
