"Player","Season","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"STEVEN.SANTINI","2017-2018","N.J","D",36,587.98,405,628,-223,39.21,41.33,64.08,309,445,-136,40.98,31.53,45.41,236,316,-80,42.75,24.08,32.25,19,20,-1,48.72,1.94,2.04,16.92,22.73,-5.81,42.67,1.73,2.32,36,36,0,3.67,3.67,8.05,93.67,6.15,95.51,5.48,94.89,0.67,0.61,101.72,100.37,1.35
"STEVEN.STAMKOS","2017-2018","T.B","C",53,750.53,811,700,111,53.67,64.83,55.96,605,536,69,53.02,48.37,42.85,426,399,27,51.64,34.06,31.9,44,27,17,61.97,3.52,2.16,33.45,27.52,5.93,54.86,2.67,2.2,46,45,-1,3.68,3.6,10.33,93.23,7.27,94.96,5.53,94.87,1.74,0.1,103.56,100.39,3.17
"SVEN.ANDRIGHETTO","2017-2018","COL","R",37,421.22,406,400,6,50.37,57.83,56.98,278,314,-36,46.96,39.6,44.73,198,228,-30,46.48,28.2,32.48,15,25,-10,37.5,2.14,3.56,13.66,18.32,-4.66,42.71,1.95,2.61,37,29,-8,5.27,4.13,7.58,89.04,5.4,92.04,4.91,94.17,0.48,-2.13,96.61,99.08,-2.47
"SVEN.BAERTSCHI","2017-2018","VAN","L",40,507.95,443,497,-54,47.13,52.33,58.71,318,365,-47,46.56,37.56,43.11,225,267,-42,45.73,26.58,31.54,21,20,1,51.22,2.48,2.36,15.34,19.37,-4.03,44.19,1.81,2.29,24,32,8,2.83,3.78,9.33,92.51,6.6,94.52,4.82,94.69,1.78,-0.17,101.84,99.52,2.33
"TAGE.THOMPSON","2017-2018","STL","C",23,257.72,268,252,16,51.54,62.39,58.67,199,184,15,51.96,46.33,42.84,143,137,6,51.07,33.29,31.9,6,10,-4,37.5,1.4,2.33,9.6,10.24,-0.64,48.39,2.23,2.38,17,15,-2,3.96,3.49,4.2,92.7,3.02,94.57,4.82,94.43,-1.81,0.13,96.9,99.26,-2.36
"TANNER.FRITZ","2017-2018","NYI","C",11,106.05,76,134,-58,36.19,43,75.81,51,101,-50,33.55,28.85,57.14,36,80,-44,31.03,20.37,45.26,1,9,-8,10,0.57,5.09,2.34,5.55,-3.21,29.66,1.32,3.14,8,6,-2,4.53,3.39,2.78,88.75,1.96,91.09,4.59,94.5,-2.63,-3.42,91.53,99.09,-7.57
"TANNER.GLASS","2017-2018","CGY","L",7,58.15,50,71,-21,41.32,51.59,73.26,38,53,-15,41.76,39.21,54.69,28,35,-7,44.44,28.89,36.11,0,2,-2,0,0,2.06,1.95,2.69,-0.74,42.03,2.01,2.78,6,6,0,6.19,6.19,0,94.29,0,96.23,5.13,94.92,-5.13,1.3,94.29,100.06,-5.77
"TANNER.KERO","2017-2018","CHI","C",8,70.37,66,81,-15,44.9,56.27,69.06,49,54,-5,47.57,41.78,46.04,36,45,-9,44.44,30.69,38.37,4,2,2,66.67,3.41,1.71,3.24,2.57,0.67,55.77,2.76,2.19,7,7,0,5.97,5.97,11.11,95.56,8.16,96.3,6.61,95.24,1.55,1.06,106.67,101.85,4.81
"TANNER.PEARSON","2017-2018","L.A","L",52,649.6,681,612,69,52.67,62.9,56.53,508,476,32,51.63,46.92,43.97,357,330,27,51.97,32.97,30.48,30,24,6,55.56,2.77,2.22,27.39,28.42,-1.03,49.08,2.53,2.63,37,46,9,3.42,4.25,8.4,92.73,5.91,94.96,5.39,94.03,0.51,0.93,101.13,99.42,1.71
"TAYLOR.CHORNEY","2017-2018","WSH","D",23,256.12,197,258,-61,43.3,46.15,60.44,149,193,-44,43.57,34.91,45.21,115,124,-9,48.12,26.94,29.05,14,7,7,66.67,3.28,1.64,8.12,11.11,-2.99,42.23,1.9,2.6,22,16,-6,5.15,3.75,12.17,94.35,9.4,96.37,5.45,94.24,3.95,2.13,106.53,99.69,6.84
"TAYLOR.FEDUN","2017-2018","BUF","D",7,91.58,86,76,10,53.09,56.34,49.79,64,56,8,53.33,41.93,36.69,46,44,2,51.11,30.14,28.83,1,2,-1,33.33,0.66,1.31,2.46,2.74,-0.28,47.31,1.61,1.8,5,6,1,3.28,3.93,2.17,95.45,1.56,96.43,3.84,95.11,-2.28,1.32,97.63,98.95,-1.32
"TAYLOR.HALL","2017-2018","N.J","L",46,678.87,655,632,23,50.89,57.89,55.86,491,467,24,51.25,43.4,41.27,363,328,35,52.53,32.08,28.99,39,31,8,55.71,3.45,2.74,32.66,28.2,4.46,53.66,2.89,2.49,50,59,9,4.42,5.21,10.74,90.55,7.94,93.36,6.65,93.96,1.29,-0.6,101.29,100.61,0.68
"TAYLOR.LEIER","2017-2018","PHI","L",34,314.22,276,246,30,52.87,52.7,46.97,211,177,34,54.38,40.29,33.8,159,131,28,54.83,30.36,25.01,8,12,-4,40,1.53,2.29,11.29,10.5,0.79,51.81,2.16,2,20,23,3,3.82,4.39,5.03,90.84,3.79,93.22,5.35,94.07,-1.56,-0.85,95.87,99.42,-3.55
"TEUVO.TERAVAINEN","2017-2018","CAR","L",53,698.4,723,575,148,55.7,62.11,49.4,536,457,79,53.98,46.05,39.26,399,334,65,54.43,34.28,28.69,33,29,4,53.23,2.84,2.49,29.85,25.93,3.92,53.51,2.56,2.23,22,32,10,1.89,2.75,8.27,91.32,6.16,93.65,5.57,94.33,0.59,-0.67,99.59,99.9,-0.31
"THOMAS.CHABOT","2017-2018","OTT","D",32,423.05,405,436,-31,48.16,57.44,61.84,287,333,-46,46.29,40.7,47.23,197,249,-52,44.17,27.94,35.31,14,21,-7,40,1.99,2.98,14.22,18.45,-4.23,43.53,2.02,2.62,19,24,5,2.69,3.4,7.11,91.57,4.88,93.69,4.95,94.46,-0.08,-0.77,98.67,99.41,-0.74
