"Player","Season","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"BROCK.NELSON","2017-2018","NYI","C",54,623.53,525,644,-119,44.91,50.52,61.97,374,479,-105,43.85,35.99,46.09,266,360,-94,42.49,25.6,34.64,23,27,-4,46,2.21,2.6,20.15,26.93,-6.78,42.8,1.94,2.59,30,39,9,2.89,3.75,8.65,92.5,6.15,94.36,5.39,94.38,0.76,-0.01,101.15,99.77,1.38
"BROOKS.LAICH","2017-2018","L.A","C",12,114.25,82,110,-28,42.71,43.06,57.77,57,86,-29,39.86,29.93,45.16,44,67,-23,39.64,23.11,35.19,2,7,-5,22.22,1.05,3.68,2.58,5.32,-2.74,32.66,1.35,2.79,9,8,-1,4.73,4.2,4.55,89.55,3.51,91.86,4.53,93.81,-1.02,-1.95,94.1,98.34,-4.24
"BROOKS.ORPIK","2017-2018","WSH","D",52,878.35,734,927,-193,44.19,50.14,63.32,509,716,-207,41.55,34.77,48.91,355,511,-156,40.99,24.25,34.91,25,36,-11,40.98,1.71,2.46,26.97,41.37,-14.4,39.46,1.84,2.83,65,55,-10,4.44,3.76,7.04,92.95,4.91,94.97,5.3,94.22,-0.39,0.75,100,99.52,0.48
"BRYAN.LITTLE","2017-2018","WPG","C",53,691.68,702,650,52,51.92,60.9,56.38,527,482,45,52.23,45.71,41.81,360,349,11,50.78,31.23,30.27,27,24,3,52.94,2.34,2.08,26.25,24.11,2.14,52.12,2.28,2.09,42,57,15,3.64,4.94,7.5,93.12,5.12,95.02,4.98,95,0.14,0.02,100.62,99.98,0.64
"BRYAN.RUST","2017-2018","PIT","R",43,539.9,577,474,103,54.9,64.12,52.68,416,350,66,54.31,46.23,38.9,292,244,48,54.48,32.45,27.12,14,24,-10,36.84,1.56,2.67,20.22,20.31,-0.09,49.89,2.25,2.26,35,46,11,3.89,5.11,4.79,90.16,3.37,93.14,4.86,94.2,-1.5,-1.05,94.96,99.06,-4.1
"BYRON.FROESE","2017-2018","MTL","C",30,303.55,240,298,-58,44.61,47.44,58.9,165,197,-32,45.58,32.61,38.94,115,143,-28,44.57,22.73,28.27,9,6,3,60,1.78,1.19,8.87,8.51,0.36,51.04,1.75,1.68,20,17,-3,3.95,3.36,7.83,95.8,5.45,96.95,5.38,95.68,0.08,1.27,103.63,101.06,2.57
"CAL.CLUTTERBUCK","2017-2018","NYI","R",49,503.7,405,545,-140,42.63,48.24,64.92,302,399,-97,43.08,35.97,47.53,229,297,-68,43.54,27.28,35.38,23,22,1,51.11,2.74,2.62,18.43,21.47,-3.04,46.19,2.2,2.56,37,23,-14,4.41,2.74,10.04,92.59,7.62,94.49,6.1,94.62,1.51,-0.13,102.64,100.72,1.91
"CALLE.JARNKROK","2017-2018","NSH","C",51,626.63,524,591,-67,47,50.17,56.59,393,430,-37,47.75,37.63,41.17,268,317,-49,45.81,25.66,30.35,26,13,13,66.67,2.49,1.24,20.28,22.75,-2.47,47.13,1.94,2.18,45,34,-11,4.31,3.26,9.7,95.9,6.62,96.98,5.16,94.71,1.46,2.27,105.6,99.87,5.73
"CALVIN.DE HAAN","2017-2018","NYI","D",33,520.9,476,494,-18,49.07,54.83,56.9,351,366,-15,48.95,40.43,42.16,248,269,-21,47.97,28.57,30.98,27,22,5,55.1,3.11,2.53,22.91,21.7,1.21,51.36,2.64,2.5,33,37,4,3.8,4.26,10.89,91.82,7.69,93.99,6.53,94.07,1.17,-0.08,102.71,100.6,2.11
"CAM.ATKINSON","2017-2018","CBJ","R",36,496.9,501,479,22,51.12,60.5,57.84,380,354,26,51.77,45.88,42.75,292,260,32,52.9,35.26,31.39,22,19,3,53.66,2.66,2.29,24.1,22.21,1.89,52.04,2.91,2.68,21,16,-5,2.54,1.93,7.53,92.69,5.79,94.63,6.34,93.73,-0.55,0.91,100.23,100.07,0.16
"CAM.FOWLER","2017-2018","ANA","D",42,737.6,656,723,-67,47.57,53.36,58.81,490,535,-45,47.8,39.86,43.52,342,383,-41,47.17,27.82,31.16,20,26,-6,43.48,1.63,2.11,26.93,30.44,-3.51,46.94,2.19,2.48,45,49,4,3.66,3.99,5.85,93.21,4.08,95.14,5.5,94.31,-1.41,0.83,99.06,99.81,-0.75
"CARL.GUNNARSSON","2017-2018","STL","D",43,602.95,493,567,-74,46.51,49.06,56.42,388,379,9,50.59,38.61,37.71,278,270,8,50.73,27.66,26.87,24,12,12,66.67,2.39,1.19,19.84,17.2,2.64,53.56,1.97,1.71,33,48,15,3.28,4.78,8.63,95.56,6.19,96.83,5.11,95.46,1.07,1.37,104.19,100.58,3.61
"CARL.HAGELIN","2017-2018","PIT","L",53,661.23,649,546,103,54.31,58.89,49.54,484,390,94,55.38,43.92,35.39,360,283,77,55.99,32.67,25.68,23,21,2,52.27,2.09,1.91,24.9,20.09,4.81,55.35,2.26,1.82,50,51,1,4.54,4.63,6.39,92.58,4.75,94.62,5.14,94.85,-0.39,-0.23,98.97,99.99,-1.02
"CARL.SODERBERG","2017-2018","COL","C",48,584.08,523,576,-53,47.59,53.73,59.17,377,405,-28,48.21,38.73,41.6,275,294,-19,48.33,28.25,30.2,16,15,1,51.61,1.64,1.54,17.32,20.76,-3.44,45.48,1.78,2.13,33,34,1,3.39,3.49,5.82,94.9,4.24,96.3,4.59,94.87,-0.35,1.42,100.72,99.47,1.25
"CARTER.ROWNEY","2017-2018","PIT","R",29,215.43,189,204,-15,48.09,52.64,56.82,139,141,-2,49.64,38.71,39.27,104,99,5,51.23,28.97,27.57,5,12,-7,29.41,1.39,3.34,7.65,7.16,0.49,51.65,2.13,1.99,19,15,-4,5.29,4.18,4.81,87.88,3.6,91.49,5.5,94.92,-1.91,-3.43,92.69,100.43,-7.74
"CASEY.CIZIKAS","2017-2018","NYI","C",44,467.23,399,463,-64,46.29,51.24,59.46,288,344,-56,45.57,36.98,44.18,217,250,-33,46.47,27.87,32.1,17,22,-5,43.59,2.18,2.83,18.22,18.98,-0.76,48.98,2.34,2.44,38,38,0,4.88,4.88,7.83,91.2,5.9,93.6,6.33,94.48,-0.42,-0.88,99.03,100.81,-1.77
"CASEY.NELSON","2017-2018","BUF","D",8,114.93,90,100,-10,47.37,46.99,52.21,65,71,-6,47.79,33.93,37.07,45,55,-10,45,23.49,28.71,0,4,-4,0,0,2.09,2.02,3.23,-1.21,38.48,1.05,1.69,4,10,6,2.09,5.22,0,92.73,0,94.37,3.11,95.45,-3.11,-1.08,92.73,98.56,-5.83
"CEDRIC.PAQUETTE","2017-2018","T.B","C",35,331.13,310,314,-4,49.68,56.17,56.9,228,231,-3,49.67,41.31,41.86,166,170,-4,49.4,30.08,30.8,8,11,-3,42.11,1.45,1.99,10.91,11.22,-0.31,49.3,1.98,2.03,38,35,-3,6.89,6.34,4.82,93.53,3.51,95.24,4.79,95.14,-1.28,0.1,98.35,99.93,-1.58
"CHAD.RUHWEDEL","2017-2018","PIT","D",30,436.27,451,399,52,53.06,62.03,54.87,356,296,60,54.6,48.96,40.71,263,213,50,55.25,36.17,29.29,12,17,-5,41.38,1.65,2.34,16.45,16.57,-0.12,49.82,2.26,2.28,27,30,3,3.71,4.13,4.56,92.02,3.37,94.26,4.62,94.4,-1.25,-0.15,96.58,99.02,-2.44
"CHANDLER.STEPHENSON","2017-2018","WSH","C",39,422.5,353,416,-63,45.9,50.13,59.08,264,300,-36,46.81,37.49,42.6,195,204,-9,48.87,27.69,28.97,18,13,5,58.06,2.56,1.85,15.8,15.96,-0.16,49.75,2.24,2.27,23,28,5,3.27,3.98,9.23,93.63,6.82,95.67,5.98,94.68,0.83,0.99,102.86,100.66,2.19
"CHARLES.HUDON","2017-2018","MTL","L",50,592.08,649,548,101,54.22,65.77,55.53,453,386,67,53.99,45.91,39.12,337,296,41,53.24,34.15,30,24,26,-2,48,2.43,2.63,28.01,18.51,9.5,60.21,2.84,1.88,39,45,6,3.95,4.56,7.12,91.22,5.3,93.26,6.18,95.2,-0.89,-1.94,98.34,101.39,-3.05
"CHARLIE.COYLE","2017-2018","MIN","C",36,479.78,410,492,-82,45.45,51.27,61.53,316,360,-44,46.75,39.52,45.02,254,250,4,50.4,31.76,31.26,19,18,1,51.35,2.38,2.25,18.78,17.78,1,51.37,2.35,2.22,25,37,12,3.13,4.63,7.48,92.8,6.01,95,5.94,95.06,0.07,-0.06,100.28,101,-0.72
"CHARLIE.MCAVOY","2017-2018","BOS","D",46,853.33,849,682,167,55.45,59.7,47.95,620,503,117,55.21,43.59,35.37,428,357,71,54.52,30.09,25.1,41,22,19,65.08,2.88,1.55,32.96,27.11,5.85,54.87,2.32,1.91,54,60,6,3.8,4.22,9.58,93.84,6.61,95.63,5.32,94.61,1.3,1.02,103.42,99.93,3.49
"CHASE.BALISY","2017-2018","FLA","C",8,65.83,59,56,3,51.3,53.77,51.04,46,40,6,53.49,41.93,36.46,30,29,1,50.85,27.34,26.43,0,2,-2,0,0,1.82,2.07,1.82,0.25,53.21,1.89,1.66,5,8,3,4.56,7.29,0,93.1,0,95,4.5,95.45,-4.5,-0.45,93.1,99.95,-6.85
"CHRIS.BIGRAS","2017-2018","COL","D",15,174.9,131,178,-47,42.39,44.94,61.06,95,130,-35,42.22,32.59,44.6,68,88,-20,43.59,23.33,30.19,2,5,-3,28.57,0.69,1.72,4.95,6.67,-1.72,42.6,1.7,2.29,16,12,-4,5.49,4.12,2.94,94.32,2.11,96.15,5.21,94.87,-3.11,1.28,97.26,100.08,-2.82
"CHRIS.DIDOMENICO","2017-2018","OTT","C",20,199.62,179,189,-10,48.64,53.8,56.81,136,137,-1,49.82,40.88,41.18,95,96,-1,49.74,28.55,28.85,8,8,0,50,2.4,2.4,7.47,6.24,1.23,54.49,2.25,1.88,13,9,-4,3.91,2.71,8.42,91.67,5.88,94.16,5.49,95.45,0.39,-1.28,100.09,100.94,-0.85
"CHRIS.KREIDER","2017-2018","NYR","C",37,453.17,439,458,-19,48.94,58.12,60.64,335,349,-14,48.98,44.35,46.21,245,249,-4,49.6,32.44,32.97,18,15,3,54.55,2.38,1.99,20.37,19.4,0.97,51.22,2.7,2.57,31,31,0,4.1,4.1,7.35,93.98,5.37,95.7,6.08,94.44,-0.71,1.26,101.32,100.52,0.8
"CHRIS.KUNITZ","2017-2018","T.B","L",53,583.8,548,524,24,51.12,56.32,53.85,404,382,22,51.4,41.52,39.26,294,285,9,50.78,30.22,29.29,20,17,3,54.05,2.06,1.75,19.61,18.88,0.73,50.95,2.02,1.94,64,45,-19,6.58,4.62,6.8,94.04,4.95,95.55,4.85,95.06,0.1,0.49,100.84,99.91,0.93
"CHRIS.STEWART","2017-2018","MIN","R",45,459.02,350,524,-174,40.05,45.75,68.49,267,380,-113,41.27,34.9,49.67,202,258,-56,43.91,26.4,33.72,19,21,-2,47.5,2.48,2.74,15.38,17.84,-2.46,46.3,2.01,2.33,37,24,-13,4.84,3.14,9.41,91.86,7.12,94.47,5.76,95.31,1.36,-0.83,101.27,101.07,0.2
"CHRIS.TANEV","2017-2018","VAN","D",35,550.43,448,475,-27,48.54,48.83,51.78,345,368,-23,48.39,37.61,40.11,257,263,-6,49.42,28.01,28.67,30,24,6,55.56,3.27,2.62,18.6,20.11,-1.51,48.05,2.03,2.19,30,34,4,3.27,3.71,11.67,90.87,8.7,93.48,5.39,94.54,3.3,-1.06,102.55,99.93,2.62
"CHRIS.THORBURN","2017-2018","STL","R",28,209.15,187,225,-38,45.39,53.65,64.55,139,159,-20,46.64,39.88,45.61,103,114,-11,47.47,29.55,32.7,6,10,-4,37.5,1.72,2.87,7.37,7.83,-0.46,48.49,2.11,2.25,20,16,-4,5.74,4.59,5.83,91.23,4.32,93.71,5.3,95.08,-0.99,-1.36,97.05,100.38,-3.32
"CHRISTIAN.DJOOS","2017-2018","WSH","D",43,564.25,570,520,50,52.29,60.61,55.29,434,413,21,51.24,46.15,43.92,288,276,12,51.06,30.62,29.35,31,20,11,60.78,3.3,2.13,24.33,23.16,1.17,51.23,2.59,2.46,40,40,0,4.25,4.25,10.76,92.75,7.14,95.16,5.61,94.39,1.54,0.77,103.52,100,3.52
"CHRISTIAN.DVORAK","2017-2018","ARI","L",52,658,596,699,-103,46.02,54.35,63.74,432,547,-115,44.13,39.39,49.88,300,378,-78,44.25,27.36,34.47,21,36,-15,36.84,1.91,3.28,22.72,29.05,-6.33,43.89,2.07,2.65,31,33,2,2.83,3.01,7,90.48,4.86,93.42,5.26,94.69,-0.4,-1.27,97.48,99.95,-2.47
"CHRISTIAN.FISCHER","2017-2018","ARI","R",50,598.7,576,607,-31,48.69,57.73,60.83,436,464,-28,48.44,43.69,46.5,322,322,0,50,32.27,32.27,18,25,-7,41.86,1.8,2.51,23.18,22.9,0.28,50.3,2.32,2.29,36,41,5,3.61,4.11,5.59,92.24,4.13,94.61,5.32,95.06,-1.19,-0.45,97.83,100.38,-2.56
"CHRISTIAN.FOLIN","2017-2018","L.A","D",37,529.28,497,481,16,50.82,56.34,54.53,377,350,27,51.86,42.74,39.68,263,249,14,51.37,29.81,28.23,16,18,-2,47.06,1.81,2.04,20.32,18.4,1.92,52.48,2.3,2.09,44,34,-10,4.99,3.85,6.08,92.77,4.24,94.86,5.39,94.74,-1.15,0.11,98.85,100.13,-1.28
"CHRIS.TIERNEY","2017-2018","S.J","C",52,650.47,635,606,29,51.17,58.57,55.9,474,450,24,51.3,43.72,41.51,336,322,14,51.06,30.99,29.7,19,17,2,52.78,1.75,1.57,27.83,25.01,2.82,52.67,2.57,2.31,38,48,10,3.51,4.43,5.65,94.72,4.01,96.22,5.87,94.44,-1.86,1.78,100.38,100.31,0.06
"CHRIS.WAGNER","2017-2018","ANA","R",54,582.05,501,591,-90,45.88,51.65,60.92,376,441,-65,46.02,38.76,45.46,258,301,-43,46.15,26.6,31.03,14,19,-5,42.42,1.44,1.96,20.13,25.01,-4.88,44.59,2.08,2.58,47,40,-7,4.84,4.12,5.43,93.69,3.72,95.69,5.35,94.33,-1.63,1.36,99.11,99.68,-0.57
"CHRIS.WIDEMAN","2017-2018","OTT","D",16,144,142,133,9,51.64,59.17,55.42,118,104,14,53.15,49.17,43.33,88,68,20,56.41,36.67,28.33,10,3,7,76.92,4.17,1.25,6.56,5.3,1.26,55.31,2.73,2.21,14,14,0,5.83,5.83,11.36,95.59,8.47,97.12,5.56,94.9,2.92,2.21,106.95,100.46,6.49
"CLAUDE.GIROUX","2017-2018","PHI","R",52,763.68,772,652,120,54.21,60.65,51.23,584,490,94,54.38,45.88,38.5,423,365,58,53.68,33.23,28.68,43,28,15,60.56,3.38,2.2,35.48,26.57,8.91,57.18,2.79,2.09,34,49,15,2.67,3.85,10.17,92.33,7.36,94.29,6.08,94.58,1.29,-0.29,102.49,100.65,1.84
"CLAYTON.KELLER","2017-2018","ARI","C",52,711.3,651,734,-83,47,54.91,61.91,496,558,-62,47.06,41.84,47.07,350,378,-28,48.08,29.52,31.89,23,36,-13,38.98,1.94,3.04,24.66,33.92,-9.26,42.1,2.08,2.86,35,37,2,2.95,3.12,6.57,90.48,4.64,93.55,4.97,93.92,-0.33,-0.37,97.05,98.89,-1.85
"CODY.CECI","2017-2018","OTT","D",51,951.92,815,1098,-283,42.6,51.37,69.21,600,775,-175,43.64,37.82,48.85,428,552,-124,43.67,26.98,34.79,35,46,-11,43.21,2.21,2.9,31.6,45.06,-13.46,41.22,1.99,2.84,69,55,-14,4.35,3.47,8.18,91.67,5.83,94.06,5.27,94.19,0.57,-0.12,99.84,99.45,0.39
"CODY.EAKIN","2017-2018","VGK","C",51,614.05,557,593,-36,48.43,54.43,57.94,423,437,-14,49.19,41.33,42.7,312,296,16,51.32,30.49,28.92,21,26,-5,44.68,2.05,2.54,21.71,23.2,-1.49,48.34,2.12,2.27,34,37,3,3.32,3.62,6.73,91.22,4.96,94.05,5.13,94.69,-0.17,-0.64,97.95,99.82,-1.88
"CODY.FRANSON","2017-2018","CHI","D",23,323.32,377,266,111,58.63,69.96,49.36,287,202,85,58.69,53.26,37.49,209,143,66,59.38,38.79,26.54,10,9,1,52.63,1.86,1.67,14.33,10.85,3.48,56.91,2.66,2.01,16,25,9,2.97,4.64,4.78,93.71,3.48,95.54,4.99,94.63,-1.51,0.92,98.49,99.62,-1.13
"CODY.MCLEOD","2017-2018","NSH/NYR","L",26,187.05,126,182,-56,40.91,40.42,58.38,90,125,-35,41.86,28.87,40.1,67,92,-25,42.14,21.49,29.51,5,5,0,50,1.6,1.6,5.08,6.9,-1.82,42.4,1.63,2.21,27,21,-6,8.66,6.74,7.46,94.57,5.56,96,5.64,94.48,-0.09,1.52,102.03,100.12,1.9
"COLIN.MILLER","2017-2018","VGK","D",52,763.33,784,615,169,56.04,61.62,48.34,570,458,112,55.45,44.8,36,400,329,71,54.87,31.44,25.86,33,32,1,50.77,2.59,2.52,30.9,23.54,7.36,56.76,2.43,1.85,49,48,-1,3.85,3.77,8.25,90.27,5.79,93.01,5.42,94.86,0.37,-1.85,98.52,100.28,-1.76
"COLIN.WHITE","2017-2018","OTT","C",10,120.75,95,145,-50,39.58,47.2,72.05,72,103,-31,41.14,35.78,51.18,50,81,-31,38.17,24.84,40.25,3,4,-1,42.86,1.49,1.99,3.91,6.19,-2.28,38.71,1.94,3.08,8,13,5,3.98,6.46,6,95.06,4.17,96.12,5.43,93.99,-1.26,2.13,101.06,99.42,1.64
"COLIN.WILSON","2017-2018","COL","C",38,422.28,379,396,-17,48.9,53.85,56.27,286,294,-8,49.31,40.64,41.77,208,205,3,50.36,29.55,29.13,14,13,1,51.85,1.99,1.85,13.6,14.36,-0.76,48.64,1.93,2.04,21,34,13,2.98,4.83,6.73,93.66,4.9,95.58,4.76,95.12,0.14,0.46,100.39,99.87,0.52
"COLTON.PARAYKO","2017-2018","STL","D",54,941.52,958,827,131,53.67,61.05,52.7,744,597,147,55.48,47.41,38.04,521,450,71,53.66,33.2,28.68,33,34,-1,49.25,2.1,2.17,38.68,29.24,9.44,56.95,2.46,1.86,48,57,9,3.06,3.63,6.33,92.44,4.44,94.3,5.2,95.1,-0.76,-0.8,98.78,100.3,-1.52
"COLTON.SCEVIOUR","2017-2018","FLA","C",44,458.93,415,454,-39,47.76,54.26,59.36,328,330,-2,49.85,42.88,43.14,248,259,-11,48.92,32.42,33.86,13,16,-3,44.83,1.7,2.09,17.78,16.93,0.85,51.22,2.32,2.21,55,43,-12,7.19,5.62,5.24,93.82,3.96,95.15,5.42,94.87,-1.46,0.28,99.06,100.29,-1.23
"COLTON.SISSONS","2017-2018","NSH","C",50,568.93,525,528,-3,49.86,55.37,55.68,387,382,5,50.33,40.81,40.29,272,271,1,50.09,28.69,28.58,18,19,-1,48.65,1.9,2,18.58,20.45,-1.87,47.6,1.96,2.16,53,41,-12,5.59,4.32,6.62,92.99,4.65,95.03,4.8,94.65,-0.15,0.38,99.61,99.45,0.16
"CONNOR.BRICKLEY","2017-2018","FLA","L",38,411.62,373,418,-45,47.16,54.37,60.93,294,305,-11,49.08,42.86,44.46,221,241,-20,47.84,32.21,35.13,13,19,-6,40.62,1.89,2.77,14.44,15.35,-0.91,48.47,2.1,2.24,36,33,-3,5.25,4.81,5.88,92.12,4.42,93.77,4.91,94.97,-0.49,-1.2,98,99.88,-1.88
"CONNOR.BROWN","2017-2018","TOR","R",55,604.78,558,599,-41,48.23,55.36,59.43,416,448,-32,48.15,41.27,44.45,294,316,-22,48.2,29.17,31.35,28,33,-5,45.9,2.78,3.27,24.34,26.81,-2.47,47.59,2.41,2.66,40,30,-10,3.97,2.98,9.52,89.56,6.73,92.63,5.85,94.02,0.88,-1.38,99.08,99.87,-0.79
