"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"","Nino Niederreiter","MIN","R","35","420.38333333333","423.37","373.09","53.16","325.41","299.24","52.09","242.5","220.4","52.39","24.9","12.78","66.08","221.24","179.89","55.15","83.96","72.32","53.72","16.07","7.93","66.94","10.27","94.20","1.045","123","153","122","50.20"
"","Connor Carrick","TOR","D","34","484.08333333333","481.26","424.07","53.16","343.44","330.12","50.99","242.59","229.09","51.43","26.74","16.7","61.56","243.32","193.94","55.65","94.62","73.29","56.35","17.53","13.47","56.53","11.02","92.71","1.037","189","174","125","60.19"
"","Radko Gudas","PHI","D","42","591.93333333333","565.85","498.86","53.15","427.14","361.73","54.15","308.9","236.75","56.61","17.92","19.79","47.52","256.33","238.03","51.85","88.24","87.24","50.28","12.21","9.87","55.31","5.80","91.64","0.974","182","212","165","52.45"
"","Tyler Bozak","TOR","C","55","675.13333333333","723.33","638.13","53.13","524.19","499.46","51.21","367.67","369.94","49.85","28.46","25.93","52.33","365.19","290.41","55.70","131.83","89.54","59.55","14.2","12.82","52.55","7.74","92.99","1.007","295","218","214","57.96"
"","Brayden McNabb","VGK","D","48","804.05","822.8","725.87","53.13","613.63","506.21","54.80","440.74","366.68","54.59","43.28","31.21","58.10","418.09","342.11","55.00","144.01","119.84","54.58","23.15","15.53","59.85","9.82","91.49","1.013","264","334","263","50.09"
"","Brian Dumoulin","PIT","D","53","848.88333333333","888.68","784.56","53.11","676.45","569.55","54.29","485.75","423.18","53.44","27.16","45.64","37.31","458.08","379.52","54.69","173.06","156.24","52.55","15.53","25.98","37.41","5.59","89.21","0.948","315","390","289","52.15"
"","Brendan Gallagher","MTL","R","54","680.9","757.94","669.52","53.10","558.36","478.27","53.86","415.84","367.26","53.10","24.8","27.37","47.54","350.18","285.12","55.12","152.55","105.14","59.20","14.09","14.42","49.42","5.96","92.55","0.985","207","330","258","44.52"
"","Jake Dotchin","T.B","D","42","639.08333333333","658.54","581.57","53.10","495.09","432.51","53.37","350.38","332.46","51.31","34.75","22.01","61.22","326.52","254.88","56.16","127.17","92.06","58.01","16.58","8.83","65.25","9.92","93.38","1.033","204","249","215","48.69"
"","Shea Weber","MTL","D","26","454.16666666667","521.89","461.18","53.09","386.84","332.66","53.76","295.7","240.18","55.18","16.88","24.71","40.59","246.84","216.26","53.30","106.87","82.86","56.33","10.06","14.29","41.31","5.71","89.71","0.954","163","186","150","52.08"
"","Dustin Brown","L.A","R","53","728.38333333333","722.58","639.01","53.07","524.42","479.4","52.24","373.52","329.22","53.15","35.2","16.79","67.70","348.5","318.28","52.27","122.57","118.98","50.74","16.07","11.75","57.75","9.42","94.90","1.043","252","300","250","50.20"
"","Jujhar Khaira","EDM","L","39","421.15","403.9","357.12","53.07","298.67","265.6","52.93","205.8","182.25","53.03","17.19","20.33","45.81","200.12","172.38","53.72","70","70.67","49.76","8.2","11.27","42.14","8.35","88.84","0.972","135","155","121","52.73"
"","Andrej Sustr","T.B","D","30","349.65","368.02","325.39","53.07","244.1","246.99","49.71","175.71","183.5","48.91","12.33","12.94","48.80","183.4","156.83","53.90","64.85","47.71","57.62","6.16","7.02","46.74","7.02","92.95","1.000","81","105","99","45.00"
"","Bryan Little","WPG","C","54","688.4","724.58","641.33","53.05","545.92","475.54","53.45","374.57","344.97","52.06","29.2","24.77","54.10","341.05","273.79","55.47","113.11","100.94","52.84","14.08","12.14","53.71","7.79","92.82","1.006","253","237","217","53.83"
"","Brayden Point","T.B","C","54","750.81666666667","790.78","700.97","53.01","584.45","522.4","52.80","418.57","397.23","51.31","41.69","23.76","63.70","436.14","323.08","57.45","168.24","112.44","59.94","22.6","9.79","69.78","9.96","94.02","1.040","255","288","269","48.66"
"","Tim Schaller","BOS","C","52","560.91666666667","525.72","466.34","52.99","393.77","348.09","53.08","290.27","238.59","54.89","15.05","14.98","50.12","260.46","235.9","52.47","106.74","76.21","58.35","10.12","5.76","63.73","5.18","93.72","0.989","129","246","194","39.94"
"","Marko Dano","WPG","C","19","126.78333333333","121.84","108.15","52.98","96.41","82.93","53.76","66.35","60.37","52.36","3.96","6.91","36.44","53.76","42.01","56.13","18.64","19.1","49.40","3.04","4.78","38.89","5.97","88.55","0.945","25","39","42","37.31"
"","Jake Muzzin","L.A","D","50","843.11666666667","865.02","768.37","52.96","620.53","579.6","51.71","433.66","418.31","50.90","34.24","22.73","60.10","423.54","385.93","52.32","135.93","156.32","46.51","16.25","17.51","48.13","7.90","94.57","1.025","278","308","259","51.77"
"","David Krejci","BOS","C","34","442.41666666667","435.38","387.35","52.92","324.21","299.78","51.96","230.53","217.98","51.40","25.03","16.08","60.88","217","182.25","54.35","58.03","73.7","44.05","11.92","6.79","63.71","10.86","92.62","1.035","206","158","97","67.99"
"","Anton Stralman","T.B","D","52","855.58333333333","884.15","786.68","52.92","663.26","625.68","51.46","483.72","454.35","51.57","48.01","31.53","60.36","469.29","391.13","54.54","174.47","147.26","54.23","25.9","16.3","61.37","9.93","93.06","1.030","317","321","233","57.64"
"","Ryan Getzlaf","ANA","C","31","471.78333333333","474.09","421.96","52.91","347.87","311.26","52.78","256.29","212.03","54.73","29.47","21.93","57.34","250.15","208.93","54.49","108.27","82.1","56.87","21.23","12.76","62.45","11.50","89.66","1.012","146","176","143","50.52"
"","Brett Pesce","CAR","D","46","790.15","779.49","695.23","52.86","567.66","532.38","51.60","394.43","382.67","50.76","25.97","38.89","40.04","377.51","341.85","52.48","157.35","135.53","53.72","15.04","14.92","50.20","6.58","89.84","0.964","230","310","242","48.73"
"","Radek Faksa","DAL","C","54","637.03333333333","621.6","554.58","52.85","453.84","391.77","53.67","333.48","289.96","53.49","35.28","15.16","69.95","301.9","272.34","52.57","119.35","92.73","56.27","25.08","4.97","83.45","10.58","94.77","1.054","122","288","242","33.52"
"","P.K. Subban","NSH","D","53","874.15","864.5","772.43","52.81","662.48","583.33","53.18","475.46","414.01","53.45","40.4","28.4","58.72","363.98","385.04","48.59","134.96","161.72","45.49","15.59","18.26","46.06","8.50","93.14","1.016","239","338","324","42.45"
"","Nate Prosser","STL","D","1","15.383333333333","14.35","12.82","52.80","11.07","8.14","57.63","6","6.12","49.51","0","0","0.00","5.98","5.27","53.16","2.03","2.07","49.47","0","0","0.00","0.00","100.00","1.000","3","5","5","37.50"
"","Vladimir Tarasenko","STL","R","56","809.8","881.27","788.37","52.78","656.33","550.44","54.39","460.98","411.14","52.86","42.79","19.02","69.23","451.18","396.48","53.23","134.62","135.99","49.75","17.73","12.12","59.39","9.28","95.37","1.047","395","305","168","70.16"
"","Mitchell Marner","TOR","C","56","695.81666666667","727.45","650.82","52.78","528.63","513.87","50.71","377.64","382.64","49.67","27.56","28.89","48.83","388.47","290.59","57.21","136.39","108.91","55.60","18.45","16.66","52.55","7.30","92.45","0.997","276","238","216","56.10"
"","Matt Hendricks","WPG","C","46","323.16666666667","326.38","292.08","52.77","250.98","217.46","53.58","182.83","161.74","53.06","14.69","15.63","48.44","148.08","128.9","53.46","59.36","54.18","52.28","6.84","8.6","44.28","8.03","90.34","0.984","84","94","121","40.98"
"","Andre Burakovsky","WSH","L","28","327.03333333333","343.98","307.95","52.76","230.23","243.17","48.63","146.76","163.93","47.24","8.13","13.83","37.03","174.13","166.12","51.18","37.4","72.68","33.97","1.91","9.85","16.27","5.54","91.56","0.971","92","116","71","56.44"
"","Ben Lovejoy","N.J","D","32","417.41666666667","413.46","370.51","52.74","323.71","270.73","54.46","222.82","186.74","54.40","14.12","9.76","59.11","195.54","161.48","54.77","77.72","56.09","58.08","6.03","5.75","51.18","6.34","94.77","1.011","78","132","133","36.97"
"","Joe Pavelski","S.J","C","54","746.91666666667","830.72","744.72","52.73","603.36","528.91","53.29","430.14","374.14","53.48","24.86","32.59","43.27","364.85","378.94","49.05","144.92","141.2","50.65","15.74","19.59","44.55","5.78","91.29","0.971","270","279","223","54.77"
"","Garnet Hathaway","CGY","R","31","329.78333333333","354.54","317.99","52.72","260.78","233.81","52.73","178.86","165.24","51.98","16.56","9.31","64.01","172.01","139.07","55.29","69.62","52.83","56.85","11.5","5.25","68.63","9.26","94.36","1.036","101","110","90","52.88"
"","Mathew Barzal","NYI","C","55","726.66666666667","794.16","712.15","52.72","581.26","537.95","51.93","427.42","379.12","52.99","42.42","32.69","56.47","411.38","391.52","51.24","152.33","146.17","51.03","22.05","19.79","52.71","9.92","91.38","1.013","206","243","189","52.15"
"","Adam McQuaid","BOS","D","16","220.91666666667","223.41","200.42","52.71","166.84","151.77","52.37","117.14","99.01","54.19","7.14","5.88","54.87","104.18","95.24","52.24","30.7","36.39","45.76","2.01","1.91","51.24","6.10","94.07","1.002","100","87","58","63.29"
"","Dmitry Kulikov","WPG","D","49","668.46666666667","639.54","573.82","52.71","477.75","436.55","52.25","342.69","312.6","52.30","27.06","22.59","54.50","304.56","270.29","52.98","127.03","109.53","53.70","16.07","13.78","53.85","7.90","92.77","1.007","195","243","205","48.75"
"","Scott Hartnell","NSH","L","39","406.63333333333","412.52","370.22","52.70","308.15","274.13","52.92","229.95","213.94","51.80","14.98","13.59","52.43","178.37","187.06","48.81","65.88","64.6","50.49","9.87","3.86","71.90","6.52","93.65","1.002","147","153","133","52.50"
"","Alex Iafallo","L.A","C","51","711.55","701.33","629.73","52.69","496.23","468.26","51.45","348.67","326.76","51.62","29.14","24.86","53.97","327.61","316.65","50.85","122.16","118.26","50.81","16.01","14.78","51.99","8.36","92.39","1.008","223","276","234","48.80"
"","Zach Trotman","PIT","D","3","34.5","33.57","30.17","52.66","22.56","21.54","51.15","16.56","17.41","48.76","0","3","0.00","9.88","17.21","36.47","5.97","7.13","45.60","0","0.98","0.00","0.00","82.77","0.828","14","8","10","58.33"
"","Jonathan Huberdeau","FLA","L","51","736.93333333333","739.43","665.3","52.64","568.6","507","52.86","427.83","363.1","54.09","38.4","30.91","55.40","364.41","313.6","53.75","131.61","125.87","51.11","20.6","19.81","50.98","8.98","91.49","1.005","233","272","272","46.14"
"","Nick Shore","L.A","C","46","546.26666666667","547.61","493.16","52.62","412.15","362.57","53.20","284.41","262.43","52.01","16.05","21.35","42.90","264.17","239.92","52.41","107.23","94.1","53.26","11.16","12.15","47.88","5.64","91.86","0.975","135","179","214","38.68"
"","Jaromir Jagr","CGY","R","22","244.11666666667","251.46","226.75","52.58","183.03","175.17","51.10","133.29","128.75","50.87","11.79","5.75","67.24","138.97","99.59","58.25","58.38","36.39","61.60","8.83","3.81","69.89","8.85","95.54","1.044","89","87","53","62.68"
"","Daniel Sedin","VAN","L","53","586.76666666667","569.22","513.43","52.58","433.81","399.15","52.08","322.19","300.95","51.70","20.08","26.45","43.15","295.57","263.17","52.90","112.31","106.43","51.34","10.09","14.38","41.22","6.23","91.21","0.974","305","181","112","73.14"
"","Leon Draisaitl","EDM","C","48","681.13333333333","717.74","647.73","52.56","554.13","468.74","54.17","397.19","331.27","54.53","38.5","28.17","57.75","387.58","343.59","53.01","151.25","129.55","53.86","17.59","13.13","57.26","9.69","91.50","1.012","259","283","201","56.30"
"","Brandon Carlo","BOS","D","52","812.05","809.25","731.46","52.52","606.71","559.59","52.02","442.26","405.9","52.14","36.11","25.91","58.23","407.53","345.4","54.13","148","125.31","54.15","19.04","11.68","61.99","8.17","93.62","1.018","287","295","221","56.50"
"","Cory Conacher","T.B","C","22","209.21666666667","193.41","175.02","52.50","140.42","134.01","51.17","107.45","101.38","51.45","9.1","5.94","60.51","98.24","77.92","55.77","37.56","29.62","55.90","4.99","3.86","56.36","8.47","94.14","1.026","58","76","66","46.77"
"","Brandon Tanev","WPG","L","46","489.58333333333","446.91","404.41","52.50","324.66","287.09","53.07","230.5","195.64","54.09","17.35","9.76","63.99","201.65","174.82","53.56","87.42","62.05","58.49","10.08","4.92","67.17","7.53","95.01","1.025","124","218","175","41.47"
"","Andrew Ladd","NYI","L","46","571.53333333333","573.12","519.37","52.46","430.89","375.57","53.43","315.43","258.42","54.97","31.52","19.05","62.33","288.29","280.19","50.71","104.12","105.04","49.78","18.54","12.09","60.53","9.99","92.63","1.026","161","194","173","48.20"
"","Aleksander Barkov","FLA","C","50","744.58333333333","770.58","698.75","52.44","604.04","528.56","53.33","448.59","377.3","54.32","34.36","33.07","50.96","379.13","323.76","53.94","140.97","130.21","51.98","16.79","18.79","47.20","7.66","91.24","0.989","241","282","341","41.41"
"","Chad Ruhwedel","PIT","D","30","434.86666666667","447.92","406.38","52.43","354.9","302.08","54.02","262.45","217.04","54.74","12.09","16.92","41.68","210.65","200.46","51.24","87.24","79.63","52.28","6.85","9.94","40.80","4.61","92.20","0.968","159","137","130","55.02"
"","Nick Schmaltz","CHI","C","50","665.11666666667","731.22","664.13","52.40","513.39","518.4","49.76","385.88","381.97","50.25","31.51","28.08","52.88","379.04","343.88","52.43","123.29","133.42","48.03","16.85","13.17","56.12","8.17","92.65","1.008","271","224","143","65.46"
"","Darnell Nurse","EDM","D","52","932.88333333333","958.19","871.13","52.38","724.55","611.63","54.23","523.67","457.23","53.39","44.71","31.87","58.39","494.87","429.84","53.52","191.31","158.53","54.68","19.13","18.82","50.41","8.54","93.03","1.016","288","352","285","50.26"
"","Anze Kopitar","L.A","C","53","806.75","799.13","727.09","52.36","578.87","544.76","51.52","406.81","379.87","51.71","35.22","24.61","58.86","383.98","365.35","51.24","137.95","136.66","50.23","18.08","15.59","53.71","8.66","93.52","1.022","250","320","283","46.90"
"","Taylor Fedun","BUF","D","7","90.933333333333","83.82","76.3","52.35","62.67","56.36","52.65","45.87","44.07","51.00","0.94","1.93","32.67","33.86","34.3","49.68","10.86","13.67","44.28","0.93","0","100.00","2.04","95.61","0.977","24","32","17","58.54"
"","Taylor Leier","PHI","L","35","311.5","273.93","249.85","52.30","211.32","181.2","53.84","158.54","134.88","54.03","8.09","12.06","40.16","137.52","112.36","55.03","56.81","40.49","58.39","3.07","8.01","27.74","5.11","91.06","0.962","88","110","86","50.57"
"","Anton Slepyshev","EDM","L","22","240.2","267.49","243.91","52.30","204.98","178.91","53.40","147.44","135.36","52.13","6.96","10.17","40.62","123.01","102.17","54.63","47","48.73","49.09","5.09","6.19","45.16","4.72","92.49","0.972","82","85","63","56.55"
"","Shea Theodore","VGK","D","39","626.36666666667","650.57","593.4","52.30","492.37","444.53","52.55","368.6","320.24","53.51","26.28","24.6","51.64","326.53","299.14","52.19","106.27","106.12","50.03","12.25","10","55.06","7.13","92.32","0.994","219","204","181","54.75"
"","Alexander Wennberg","CBJ","C","39","540.46666666667","543.27","495.4","52.30","424.6","374.82","53.11","321.12","279.88","53.43","25.96","18.01","59.03","267.24","247.96","51.87","105.4","103.55","50.44","16.34","11.01","59.73","8.08","93.56","1.016","211","160","154","57.81"
"","Viktor Arvidsson","NSH","L","51","649.23333333333","700.68","640.17","52.26","516.42","489.49","51.34","370.84","352.11","51.30","30.15","21","58.95","295.23","329.73","47.24","95.32","142.6","40.06","8.77","11.01","44.33","8.13","94.04","1.022","260","280","203","56.16"
"","Olli Maatta","PIT","D","55","843.63333333333","896.92","820.1","52.24","679.76","600.66","53.09","497.35","426.76","53.82","28.15","35.73","44.06","412.12","400.19","50.73","166.47","150.94","52.45","13.11","19.87","39.75","5.66","91.63","0.973","283","296","242","53.90"
"","Artturi Lehkonen","MTL","L","38","450.73333333333","491.57","449.41","52.24","368.73","332","52.62","274.54","240.83","53.27","13.82","19.92","40.95","238.88","204.32","53.90","101.81","74.29","57.81","10.09","10.95","47.96","5.03","91.73","0.968","159","167","154","50.80"
"","Jesse Puljujarvi","EDM","R","35","457.41666666667","494.53","452.09","52.24","374.01","326.8","53.37","273.11","254.72","51.74","21.35","17.04","55.62","254.53","224.72","53.11","104.74","90.21","53.73","11.46","13.11","46.62","7.82","93.31","1.011","163","173","144","53.09"
"","Alex Tuch","VGK","R","50","594.01666666667","588.63","538.42","52.23","436.67","394.13","52.56","313.37","271.94","53.54","24.04","18.77","56.16","295.82","245.2","54.68","97.24","78.9","55.21","13.2","7.74","63.03","7.67","93.10","1.008","190","193","166","53.37"
"","Lee Stempniak","CAR","R","11","145.71666666667","142.13","130.06","52.22","97.42","103.29","48.54","70.21","66.89","51.21","4.12","7.22","36.36","67.92","55.11","55.21","27.99","17.54","61.48","3.21","2","61.63","5.87","89.21","0.951","54","49","28","65.85"
"","Chris Wideman","OTT","D","16","141.23333333333","143.94","131.75","52.21","119.98","103.35","53.72","90.12","67.55","57.16","9.83","3.16","75.64","70.43","57.17","55.19","27.21","21.76","55.56","4.97","2.18","69.50","10.90","95.32","1.062","56","49","39","58.95"
"","Tanner Pearson","L.A","L","53","648.93333333333","684.78","627.02","52.20","511.04","486.9","51.21","359.86","337.56","51.60","31.29","23.81","56.80","318.85","311.96","50.55","108.43","128.11","45.84","15.44","15.65","49.65","8.70","92.95","1.016","218","272","199","52.28"
"","Tyler Pitlick","DAL","C","53","590.25","575.72","527.76","52.17","423.75","371.52","53.28","309.46","276.76","52.79","28.08","16.04","63.64","278.32","258.7","51.83","93.97","87.79","51.70","20.07","5.85","77.43","9.07","94.21","1.033","119","289","208","36.39"
"","Marek Hrivik","CGY","L","3","21.866666666667","24.76","22.74","52.13","19.3","14.21","57.59","12.6","11.3","52.71","1.06","0","100.00","11.82","11.58","50.50","8.88","2.8","76.00","1.07","0","100.00","8.43","100.00","1.084","3","9","6","33.33"
"","Jacob Trouba","WPG","D","50","837.86666666667","894.48","821.38","52.13","662.65","590.16","52.89","492.69","436.86","53.00","44.19","37.91","53.82","420.56","374.38","52.90","150.77","126.31","54.41","20.93","18.2","53.48","8.97","91.32","1.003","260","294","284","47.79"
"","Paul Postma","BOS","D","12","108.35","115.83","106.49","52.10","89.86","80.77","52.66","66.47","57.61","53.57","4","5.93","40.29","56.68","56.06","50.27","23.75","22.87","50.95","1.94","3.85","33.54","6.02","89.71","0.957","55","31","39","58.51"
"","Christian Djoos","WSH","D","44","564","579.63","532.99","52.10","441.21","426.49","50.85","293.02","288.03","50.43","32.74","21.52","60.34","306.17","288.41","51.49","117.42","125.84","48.27","16.86","16.68","50.27","11.17","92.53","1.037","233","212","137","62.97"
"","Alexander Radulov","DAL","R","55","820.03333333333","854.45","786.27","52.08","623.88","568.33","52.33","453.36","415.78","52.16","42.82","33.88","55.83","430.61","383.92","52.87","183.29","127.04","59.06","23.88","11.73","67.06","9.45","91.85","1.013","324","299","282","53.47"
"","Miikka Salomaki","NSH","R","38","362.6","323.44","297.59","52.08","235.34","217.15","52.01","163.91","167.82","49.41","13.2","17.85","42.51","132.47","124.26","51.60","55.1","40.65","57.54","10.05","7.8","56.31","8.05","89.36","0.974","83","124","159","34.30"
"","Noel Acciari","BOS","C","32","354.15","316.76","291.75","52.06","247.68","196.22","55.80","180.38","130.97","57.93","8.23","9.88","45.45","159.59","151.38","51.32","68.44","40.17","63.01","6.27","4.81","56.59","4.56","92.46","0.970","66","147","105","38.60"
"","Henrik Sedin","VAN","C","54","615.3","586.72","540.71","52.04","445.48","415.08","51.77","338.34","306.12","52.50","23.18","28.41","44.93","293.29","276.65","51.46","116.45","115.45","50.22","12.12","15.39","44.05","6.85","90.72","0.976","309","183","114","73.05"
"","Josh Morrissey","WPG","D","54","882.66666666667","918.29","846.16","52.04","694.54","606.04","53.40","515.79","444.52","53.71","42.83","37.84","53.09","442.71","371.61","54.37","161.77","129.75","55.49","24.73","19","56.55","8.30","91.49","0.998","290","320","303","48.90"
"","Jake Guentzel","PIT","C","55","728.56666666667","787.82","726.43","52.03","604.37","556.44","52.06","435.32","398.45","52.21","22.53","35.89","38.57","392.16","405.25","49.18","148.55","192.29","43.58","10.82","24.31","30.80","5.18","90.99","0.962","265","284","170","60.92"
"","Alex Petrovic","FLA","D","40","527.38333333333","528.31","487.49","52.01","407.3","375.32","52.04","296.38","266.83","52.62","18.69","24.09","43.68","223.11","221.33","50.20","86.17","84.8","50.40","11.91","14.87","44.49","6.30","90.97","0.973","181","189","128","58.58"
"","Scott Laughton","PHI","C","54","512.16666666667","461.18","425.55","52.01","356.16","309.82","53.48","269.21","215.52","55.54","13.84","20.94","39.79","222.83","197.19","53.05","89.19","72.94","55.01","5.06","15","25.23","5.14","90.28","0.954","133","169","150","47.00"
"","Patrick Kane","CHI","R","54","805.23333333333","878.64","811.33","51.99","623.51","630.4","49.73","460.92","477.57","49.11","37.69","39.82","48.63","447.14","429.45","51.01","153.26","161.66","48.67","18.84","19","49.79","8.18","91.66","0.998","322","255","166","65.98"
"","Tom Wilson","WSH","R","49","641.8","642.18","593.25","51.98","444.12","470.77","48.54","301.41","316.19","48.80","33.37","25.95","56.26","316.57","323.72","49.44","125.4","133.98","48.34","17.71","17.17","50.78","11.07","91.79","1.029","221","251","150","59.57"
"","Jay Bouwmeester","STL","D","25","421.26666666667","425.83","393.53","51.97","324.91","286.41","53.15","237.35","223.07","51.55","18.08","10.13","64.10","203.65","205.95","49.72","64.97","68.58","48.65","10.12","6.19","62.07","7.62","95.46","1.031","115","163","140","45.10"
"","Josh Manson","ANA","D","55","913.28333333333","882.07","815.72","51.95","672.36","605.44","52.62","489.67","439.3","52.71","46.75","27.69","62.80","455.7","414.24","52.38","184.03","144.04","56.09","32.69","17.96","64.54","9.55","93.70","1.032","239","353","321","42.68"
"","James Neal","VGK","L","54","742.96666666667","744.61","689.11","51.94","548.05","520.1","51.31","396.15","379.92","51.05","38.03","37.16","50.58","368.8","344.16","51.73","121.38","117.99","50.71","19.05","19.67","49.20","9.60","90.22","0.998","264","307","229","53.55"
"","Tyler Toffoli","L.A","C","53","666.11666666667","733.02","678.3","51.94","539.41","534.74","50.22","376.81","382.68","49.61","28.99","23.05","55.70","343.71","334.04","50.71","116.3","138.36","45.67","19.09","14.83","56.28","7.69","93.98","1.017","239","262","167","58.87"
"","Tyler Myers","WPG","D","54","811.4","799.2","739.7","51.93","595.98","551.18","51.95","433.89","398.06","52.15","34.13","26.59","56.21","386.51","351.47","52.37","138.59","147.64","48.42","13.16","13.77","48.88","7.87","93.32","1.012","228","277","243","48.41"
"","Mikko Rantanen","COL","R","52","696.68333333333","702.51","650.2","51.93","513.37","478.74","51.75","372.23","354.12","51.25","39.31","29.94","56.76","334.66","303.63","52.43","124.13","108.55","53.35","23.49","13.08","64.24","10.56","91.54","1.021","289","316","217","57.11"
"","Evgeni Malkin","PIT","C","51","689.13333333333","705.96","654.4","51.90","535.65","510.48","51.20","409","367.09","52.70","31.56","36.07","46.66","348.08","339.35","50.63","128.79","149.32","46.31","14.75","23.14","38.93","7.72","90.17","0.979","281","245","150","65.20"
"","Robert Bortuzzo","STL","D","51","669.28333333333","685.21","635.07","51.90","499.52","449.65","52.63","373.1","319.51","53.87","25.98","24.71","51.25","320.16","312.59","50.60","107.82","108.07","49.94","11.81","13.87","45.99","6.96","92.27","0.992","214","222","196","52.20"
"","Matt Read","PHI","R","4","40.516666666667","30.63","28.38","51.90","20.18","21.02","48.98","13.67","14.9","47.85","1.02","0","100.00","7.53","12.24","38.08","3.98","4.13","49.09","0","0","0.00","7.45","100.00","1.075","12","11","7","63.16"
"","Stefan Noesen","N.J","R","44","515.93333333333","485.17","449.77","51.89","377.38","332.8","53.14","274.65","235.78","53.81","24.04","16.95","58.65","245.55","216.12","53.19","97.74","74.65","56.70","12.96","8.86","59.40","8.75","92.81","1.016","141","175","196","41.84"
"","Phillip Di Giuseppe","CAR","L","21","189.5","177.43","164.6","51.88","124.11","121.45","50.54","82.23","83.28","49.68","4.17","7.26","36.46","76.08","83.09","47.80","24.63","37.31","39.77","2.14","6.29","25.41","5.07","91.28","0.963","46","67","49","48.42"
"","Brent Seabrook","CHI","D","53","772.28333333333","858.83","796.9","51.87","599.48","580.66","50.80","430.15","427.57","50.15","32.59","27.98","53.81","435.81","400.01","52.14","153.24","171.09","47.25","18.86","22.15","45.99","7.58","93.46","1.010","319","304","239","57.17"
"","Adam Henrique","ANA","C","30","384.46666666667","381.42","353.92","51.87","288.27","252.79","53.28","204.63","183.75","52.69","14.92","10.72","58.20","181.46","187.11","49.23","75.85","73.29","50.86","11.84","6.69","63.89","7.29","94.17","1.015","105","131","123","46.05"
"","Chris Kunitz","T.B","L","54","580.43333333333","556.58","517.16","51.84","412.52","376.2","52.30","299.88","280.32","51.69","20.09","17.06","54.08","276.35","230.52","54.52","92.62","89.79","50.78","8.96","8.82","50.41","6.70","93.91","1.006","170","250","183","48.16"
"","Tage Thompson","STL","C","24","263.51666666667","279.05","259.49","51.82","206.79","188.59","52.30","147.52","140.02","51.30","7.1","10.61","40.09","137.32","121.02","53.16","48.46","41.95","53.60","2.84","7.82","26.65","4.81","92.42","0.972","70","76","82","46.05"
"","Micheal Ferland","CGY","L","53","681.85","715.66","665.67","51.81","525.22","520.49","50.23","363.55","370.82","49.51","37.09","22.4","62.35","341.73","325.64","51.21","146.96","127.54","53.54","18.68","10.19","64.71","10.20","93.96","1.042","277","258","225","55.18"
"","Nicklas Backstrom","WSH","C","52","722.56666666667","716","667.94","51.74","520.49","526.94","49.69","352.18","355.41","49.77","32.8","18.49","63.95","371.52","342.96","52.00","129.77","130.38","49.88","16.81","12.68","57.01","9.31","94.80","1.041","222","324","214","50.92"
"","Joseph Blandisi","ANA","C","3","33.066666666667","25.14","23.47","51.72","20.91","15.96","56.72","16.63","15.08","52.46","2.08","0","100.00","8.52","9.21","48.07","0","5.36","0.00","0","0","0.00","12.51","100.00","1.125","6","12","9","40.00"
"","MacKenzie Weegar","FLA","D","33","421.2","424.33","396.12","51.72","315.29","290.86","52.02","236.94","217.1","52.18","11.77","13.03","47.46","189.62","174.22","52.12","76.84","68.57","52.84","6.96","7.05","49.70","4.97","94.00","0.990","123","156","108","53.25"
"","Chris Tierney","S.J","C","54","668.7","670.05","626.43","51.68","496.5","469.93","51.37","351.43","332.95","51.35","20.26","20.86","49.27","319.67","298.58","51.71","125.53","122.31","50.65","12.16","13.02","48.29","5.76","93.73","0.995","185","229","142","56.57"
"","Colton Sissons","NSH","C","52","576.25","567.26","531.42","51.63","419.77","386.31","52.08","296.07","275.59","51.79","18.98","18.8","50.24","251.28","247.47","50.38","85.86","91.98","48.28","8.77","10.7","45.06","6.41","93.18","0.996","141","189","268","34.47"
"","Logan Couture","S.J","C","50","611.58333333333","647.15","606.41","51.62","470.51","413.44","53.23","318.8","298","51.69","25.01","30.25","45.25","290.4","281.31","50.80","116.41","120.38","49.16","16.05","23.03","41.08","7.84","89.85","0.977","192","264","199","49.10"
"","Andrew Shaw","MTL","R","43","561.58333333333","573.08","538.01","51.58","404.3","399.23","50.32","303.69","299.94","50.31","20.94","27.34","43.38","271.51","268.5","50.28","117.05","93.63","55.56","11.79","13.16","47.25","6.90","90.89","0.978","200","218","167","54.50"
"","Jeff Petry","MTL","D","54","926.65","939.45","885.49","51.48","678.11","639.15","51.48","499.54","463.69","51.86","30.57","41.37","42.50","435.32","399.64","52.14","181.29","147.55","55.13","21.54","22.84","48.54","6.12","91.08","0.972","280","357","299","48.36"
"","Matt Irwin","NSH","D","37","465.36666666667","454.1","428.18","51.47","334.58","317.58","51.30","232.62","238.91","49.33","19.81","16.9","53.96","215.31","210.84","50.52","80.51","75.27","51.68","12","10.06","54.41","8.51","92.93","1.014","159","161","158","50.16"
"","Stephen Johns","DAL","D","52","725.06666666667","690.01","651.5","51.44","488.33","446.95","52.21","363.57","321.17","53.10","31.07","23.98","56.45","318.81","325.25","49.50","139.27","110.9","55.67","18.09","11.85","60.42","8.55","92.54","1.011","214","266","260","45.15"
